time,score,
98.659,0.373778,
28.9104,0.306507,
21.4354,0.191314,
21.417,0.162352,
112.021,0.200365,
20.7721,0.194967,
65.3998,0.187777,
26.7753,0.387351,
64.4723,0.250889,
21.4217,0.189135,
24.6115,0.204456,
59.5651,0.34112,
62.2934,4.48303,
114.244,0.333614,
64.05,0.305455,
65.0784,0.837681,
19.0823,0.32856,
32.4465,0.678752,
25.9085,4.03117,
26.1418,1.30873,
65.4995,0.22595,
20.0923,0.203155,
61.0544,0.443272,
22.2512,0.279971,
32.1359,0.649012,
57.6251,0.211956,
21.8746,0.3799,
59.4332,0.28769,
20.0464,0.202063,
53.002,0.287818,
51.5827,0.346218,
18.8489,0.236091,
51.4508,0.207992,
46.6814,0.267764,
51.4266,0.182509,
50.272,0.428591,
20.3373,1.28176,
45.6758,0.32027,
13.6559,0.29652,
44.785,0.354471,
43.6586,0.53638,
66.1503,0.607571,
13.6338,0.167197,
13.4215,0.205063,
38.5572,0.255713,
13.6281,0.710046,
18.2413,0.334314,
47.2994,2.66048,
24.0616,1.44914,
49.779,0.554279,
52.4538,0.573041,
19.1937,1.29309,
20.8581,1.51619,
18.864,0.550331,
15.775,1.05774,
48.0557,0.374151,
51.6983,0.659528,
58.903,0.950005,
52.6391,0.22464,
53.5627,0.307355,
28.8856,0.427192,
20.6903,0.638314,
48.5889,0.23368,
50.6459,0.332069,
53.3282,0.251657,
72.493,0.18193,
21.5283,0.170957,
56.0106,0.145821,
25.0089,0.230321,
44.1162,0.50257,
21.5452,0.157918,
14.3801,0.974714,
42.7775,0.226965,
41.8576,0.156724,
43.0849,0.279196,
53.7565,0.173072,
45.3664,0.601062,
39.4941,0.129339,
40.7512,0.240444,
18.1127,0.19519,
48.7801,0.109352,
46.4956,0.108536,
44.7389,0.198358,
54.2924,0.306151,
55.0932,0.230263,
52.557,0.229042,
17.7571,0.307181,
54.9424,0.154252,
18.164,0.752622,
94.9367,0.420474,
55.5207,0.153218,
64.2884,0.357334,
19.1588,0.242681,
25.5868,0.341679,
23.2086,0.514512,
59.9183,1.10616,
44.3462,0.234027,
19.9018,1.02885,
43.7619,0.278117,
24.8243,0.362417,
37.294,0.281923,
19.0033,0.271435,
74.3221,0.311425,
27.1421,0.295763,
45.5477,0.208852,
21.2234,0.2954,
83.4967,0.134402,
28.4863,0.144399,
87.3829,0.131987,
19.2683,0.210752,
37.6443,0.272447,
